V1;V2;True;;
Los Angeles, CA; CA;US;;US
Denver, CO; CO;US;;US
San Diego, CA; CA;US;;US
San Francisco, CA; CA;US;;US
Palo Alto, CA; CA;US;;US
Newport Beach, CA; CA;US;;US
Irvine, CA; CA;US;;US
Derby, UK; UK;RU;RU;RURU
Toronto, Canada; Canada;CA;;CA
Tokyo, Japan; Japan;JP;;JP
Redwood City, CA; CA;US;;US
Dallas, TX; TX;;US;US
Portland, OR; OR;;;
Minneapolis, MN; MN;;;
Chicago, IL; IL;;;
Kirkland, WA; WA;;;
Sacramento, CA; CA;;;
Oakland, CA; CA;US;;US
Bellevue, WA; WA;;;
Prague, Czech Republic; Czech Republic;;;
Stockport, UK; UK;;RU;RU
Austin, TX; TX;;US;US
New York, NY; NY;;;
Anacortes, WA; WA;;;
Montreal, Canada; Canada;;;
Boston, MA; MA;;;
Cambridge, UK; UK;;RU;RU
Miami, FL; FL;;;
Pasadena, CA; CA;;;
San Jose, CA; CA;US;;US
Atlanta, GA; GA;;;
Spokane, WA; WA;;;
Beijing, China; China;CA;;CA
Oslo, Norway; Norway;;;
Cambridge, MA; MA;;;
Vancouver, WA; WA;;;
Plano, TX; TX;;US;US
Melbourne, AU; AU;;;
Ghent, Belgium; Belgium;;;
Orem, UT; UT;;;
Lake Forest, CA; CA;;;
Denton, TX; TX;;US;US
St. Louis, MO; MO;;;
Alpine, UT; UT;;;
Umeå, Sweden; Sweden;;;
Seattle, WA; WA;;;
Guildford, UK; UK;;RU;RU
Brooklyn, NY; NY;;;
Niagara Falls, NY; NY;;;
Las Vegas, NV; NV;;;
Munich, Germany; Germany;;;
Carlsbad, CA; CA;;;
Isle of Wight, UK; UK;;RU;RU
Sydney, AU; AU;;;
Ogden, UT; UT;;;
Brisbane, AU; AU;;;
Philadelphia, PA; PA;;;
Santa Cruz, CA; CA;;;
Fairfax, VA; VA;;;
Phoenix, AZ; AZ;;;
Waterloo, Canada; Canada;;;
Londonderry, NH; NH;;;
York, UK; UK;;RU;RU
Lexington, MA; MA;;;
London, UK; UK;;RU;RU
Newark, DE; DE;;;
Detroit, MI; MI;;;
Easthampton, MA; MA;;;
Queen Creek, AZ; AZ;;;
Urbana, IL; IL;;;
Lexington, KY; KY;;;
Paris, France; France;;;
Pembrokeshire County, UK; UK;;RU;RU
Frankfurt, Germany; Germany;CA;;CA
Framingham, MA; MA;;;
Bethesda, MD; MD;;;
Lower East Side, Manhattan, NY; Manhattan;;;
Storrs, CT; CT;;;
Łódź, Poland; Poland;;;
Salt Lake City, UT; UT;;;
Nice, France; France;;;
Tucson, AZ; AZ;;;
Eugene, OR; OR;;;
Hamburg, Germany; Germany;;;
Birmingham, UK; UK;;RU;RU
Ljubljana, Slovenia; Slovenia;;;
Cannes, France; France;;;
Fairfield, CT; CT;;;
Washington, DC; DC;US;;US
Somerville, MA; MA;;;
Stockholm, Sweden; Sweden;;;
Hillandale, MD; MD;;;
